DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1981,1,1,33.0,195.0,185.0,410.0,600.0,146.0,79.0,326.0,129.0,439.0,364.0,81.0,2987.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1982,1,1,30.0,150.0,220.0,357.0,571.0,26.0,59.0,28.0,281.0,680.9,396.0,342.0,3140.9
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1983,1,1,87.0,42.0,162.0,832.0,236.0,182.0,233.0,35.0,225.0,293.0,126.0,269.0,2722.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1984,1,1,32.0,264.0,103.0,218.0,293.0,195.0,185.0,320.0,404.0,439.0,256.6,111.7,2821.3
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1985,1,1,8.0,206.0,,220.0,210.0,139.0,277.0,342.0,277.0,447.0,160.0,61.0,2587.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1986,1,1,126.0,245.0,104.0,417.4,276.5,141.7,31.1,159.0,173.8,519.2,106.6,33.0,2333.3
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1987,1,1,122.5,101.7,108.5,387.5,366.8,169.9,,125.6,371.7,388.8,364.5,83.3,2762.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1989,1,1,214.7,109.5,181.9,260.2,382.6,218.2,117.6,237.7,410.9,626.7,178.6,67.9,3006.5
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1990,1,1,195.5,155.3,78.3,431.4,134.9,122.5,299.1,194.5,151.2,517.9,214.5,,2495.1
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1992,1,1,51.6,98.6,200.7,45.4,461.5,87.3,56.0,177.1,196.0,276.9,262.8,177.4,2091.3
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1993,1,1,122.1,12.0,395.1,311.2,421.5,74.0,106.7,106.4,336.8,319.4,384.8,134.6,2724.6
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1994,1,1,79.7,171.1,338.9,386.8,431.3,23.8,179.7,109.6,198.2,259.3,258.3,101.3,2538.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1995,1,1,158.7,27.1,307.5,385.5,282.2,218.1,233.5,276.0,131.1,233.7,361.5,110.6,2725.5
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1996,1,1,,,273.4,264.9,602.7,289.2,146.2,176.7,222.1,263.1,101.0,124.8,2464.1
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1997,1,1,27.3,158.9,254.1,226.7,174.7,161.0,32.3,38.7,195.8,228.4,381.1,39.2,1918.2
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1998,1,1,93.7,91.5,116.6,287.2,342.1,240.3,143.3,162.8,215.3,449.3,271.5,263.3,2676.9
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,1999,1,1,250.0,274.5,181.3,320.9,158.9,314.5,79.1,250.4,253.1,309.4,230.6,245.4,2868.1
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2000,1,1,25.0,290.7,191.5,301.6,363.4,266.3,293.8,178.5,,239.2,63.8,179.8,2876.8
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2001,1,1,126.4,24.5,473.8,120.3,197.9,125.5,109.0,11.3,310.7,315.8,353.7,183.2,2352.1
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2002,1,1,129.5,78.3,128.4,267.7,126.3,182.6,106.6,100.0,223.8,387.2,220.4,143.6,2094.4
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2003,1,1,4.9,149.0,235.1,325.6,157.2,231.4,130.5,403.8,300.9,475.9,362.2,200.6,2977.1
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2004,1,1,74.5,47.9,183.2,318.5,496.1,113.1,128.8,91.5,222.3,443.9,296.9,,2416.7
