id estación,estación,longitud,latitud,elevación,año,enero,febrero,marzo,abril,mayo,junio,julio,agost,septi,octub,novie,dicie
230075010,rio claro,-74.5,5.51,449.0,1990,256.8,275.9,148.0,359.2,104.8,355.3,437.9,211.7,233.0,260.8,331.6,282.0
230075010,rio claro,-74.5,5.51,449.0,1991,34.2,168.1,159.7,592.1,356.4,306.7,136.7,136.1,356.3,439.2,318.4,247.5
230075010,rio claro,-74.5,5.51,449.0,1992,115.7,119.9,287.8,161.2,541.0,154.5,74.7,118.6,232.1,375.1,229.5,469.7
230075010,rio claro,-74.5,5.51,449.0,1993,223.2,117.9,506.4,526.8,502.0,215.2,168.0,167.2,469.4,379.0,686.0,242.0
230075010,rio claro,-74.5,5.51,449.0,1994,125.0,368.0,357.0,,447.9,76.2,189.1,307.5,251.4,488.7,687.9,298.5
230075010,rio claro,-74.5,5.51,449.0,1995,88.0,18.5,375.6,385.7,571.9,281.6,480.5,385.9,310.4,298.4,559.4,591.2
230075010,rio claro,-74.5,5.51,449.0,1996,168.1,422.3,246.0,386.1,652.6,374.8,167.8,295.3,339.0,475.8,468.9,
230075010,rio claro,-74.5,5.51,449.0,1997,44.8,212.6,338.9,272.4,263.7,146.5,72.6,176.2,381.5,671.4,684.5,61.1
230075010,rio claro,-74.5,5.51,449.0,1998,191.3,219.8,231.2,406.1,375.9,293.2,314.9,165.7,348.6,718.8,430.1,452.6
230075010,rio claro,-74.5,5.51,449.0,1999,272.8,400.8,128.7,395.3,569.0,505.0,195.8,448.4,465.5,567.5,399.8,267.9
230075010,rio claro,-74.5,5.51,449.0,2000,77.2,265.1,217.0,508.5,408.9,311.4,335.9,385.4,649.2,564.2,205.6,415.6
230075010,rio claro,-74.5,5.51,449.0,2001,325.0,30.9,580.0,143.4,303.1,213.0,202.9,51.3,455.2,334.6,305.6,277.1
230075010,rio claro,-74.5,5.51,449.0,2002,147.8,106.5,381.2,498.7,287.8,369.2,184.2,200.0,312.1,410.6,378.3,469.5
230075010,rio claro,-74.5,5.51,449.0,2003,66.5,215.4,230.9,451.5,389.2,461.6,193.5,241.1,484.5,592.5,277.5,320.5
230075010,rio claro,-74.5,5.51,449.0,2004,87.8,76.7,301.3,386.1,588.4,221.6,278.1,169.9,466.6,522.8,355.8,318.3
230075010,rio claro,-74.5,5.51,449.0,2005,151.8,72.2,356.1,507.3,475.4,364.2,,308.7,259.7,296.9,281.0,317.9
230075010,rio claro,-74.5,5.51,449.0,2006,258.0,251.9,276.2,594.7,356.8,319.8,204.0,224.4,251.0,559.0,548.3,386.0
230075010,rio claro,-74.5,5.51,449.0,2007,272.8,0.6,557.9,422.7,537.6,211.2,262.8,509.9,535.6,653.7,344.5,155.7
230075010,rio claro,-74.5,5.51,449.0,2008,212.5,222.8,324.6,647.3,335.0,274.9,305.0,647.6,292.2,496.9,618.1,112.9
230075010,rio claro,-74.5,5.51,449.0,2009,355.6,339.5,406.8,380.0,401.5,374.9,63.9,304.1,173.2,424.3,476.3,369.2
23050100,san miguel,-74.43,5.43,160.0,1990,195.5,155.3,78.3,431.4,134.9,122.5,299.1,194.5,151.2,517.9,214.5,
23050100,san miguel,-74.43,5.43,160.0,1992,51.6,98.6,200.7,45.4,461.5,87.3,56.0,177.1,196.0,276.9,262.8,177.4
23050100,san miguel,-74.43,5.43,160.0,1993,122.1,12.0,395.1,311.2,421.5,74.0,106.7,106.4,336.8,319.4,384.8,134.6
23050100,san miguel,-74.43,5.43,160.0,1994,79.7,171.1,338.9,386.8,431.3,23.8,179.7,109.6,198.2,259.3,258.3,101.3
23050100,san miguel,-74.43,5.43,160.0,1995,158.7,27.1,307.5,385.5,282.2,218.1,233.5,276.0,131.1,233.7,361.5,110.6
23050100,san miguel,-74.43,5.43,160.0,1996,,,273.4,264.9,602.7,289.2,146.2,176.7,222.1,263.1,101.0,124.8
23050100,san miguel,-74.43,5.43,160.0,1997,27.3,158.9,254.1,226.7,174.7,161.0,32.3,38.7,195.8,228.4,381.1,39.2
23050100,san miguel,-74.43,5.43,160.0,1998,93.7,91.5,116.6,287.2,342.1,240.3,143.3,162.8,215.3,449.3,271.5,263.3
23050100,san miguel,-74.43,5.43,160.0,1999,250.0,274.5,181.3,320.9,158.9,314.5,79.1,250.4,253.1,309.4,230.6,245.4
23050100,san miguel,-74.43,5.43,160.0,2000,25.0,290.7,191.5,301.6,363.4,266.3,293.8,178.5,,239.2,63.8,179.8
23050100,san miguel,-74.43,5.43,160.0,2001,126.4,24.5,473.8,120.3,197.9,125.5,109.0,11.3,310.7,315.8,353.7,183.2
23050100,san miguel,-74.43,5.43,160.0,2002,129.5,78.3,128.4,267.7,126.3,182.6,106.6,100.0,223.8,387.2,220.4,143.6
23050100,san miguel,-74.43,5.43,160.0,2003,4.9,149.0,235.1,325.6,157.2,231.4,130.5,403.8,300.9,475.9,362.2,200.6
23050100,san miguel,-74.43,5.43,160.0,2004,74.5,47.9,183.2,318.5,496.1,113.1,128.8,91.5,222.3,443.9,296.9,
23050100,san miguel,-74.43,5.43,160.0,2005,209.9,54.5,,374.6,273.8,179.9,250.5,172.0,235.8,408.1,263.4,204.3
23050100,san miguel,-74.43,5.43,160.0,2006,269.4,94.8,373.0,365.2,256.1,173.7,138.8,203.8,173.2,404.0,331.8,310.6
23050100,san miguel,-74.43,5.43,160.0,2007,201.7,0.0,389.0,366.3,475.0,60.9,186.5,487.2,203.2,418.1,238.2,144.3
23050100,san miguel,-74.43,5.43,160.0,2008,36.5,336.0,189.4,359.4,345.1,189.0,235.7,404.9,248.8,364.0,340.2,173.8
23050100,san miguel,-74.43,5.43,160.0,2009,97.7,223.6,179.8,197.1,198.7,137.3,78.9,253.8,134.8,592.4,283.9,279.9
23050100,san miguel,-74.43,5.43,160.0,2010,54.1,28.4,180.3,424.9,307.0,201.8,242.6,237.3,467.3,380.7,235.3,233.5
23050100,san miguel,-74.43,5.43,160.0,2011,18.0,123.6,410.5,652.4,166.7,119.2,117.0,233.5,207.1,428.3,345.7,189.7
23110030,pto niño,-74.34999999999998,5.56,150.0,1990,105.0,31.7,154.3,437.7,195.6,91.6,161.0,154.0,147.5,370.8,104.9,89.0
23110030,pto niño,-74.34999999999998,5.56,150.0,1991,61.1,93.8,154.9,255.2,242.2,137.2,157.4,165.3,226.9,145.4,79.1,37.5
23110030,pto niño,-74.34999999999998,5.56,150.0,1992,32.7,49.2,155.2,105.4,152.1,50.0,40.6,,212.9,335.5,164.3,175.9
23110030,pto niño,-74.34999999999998,5.56,150.0,1993,86.1,52.8,205.6,190.0,291.4,42.9,136.7,74.2,367.2,134.2,310.6,72.5
23110030,pto niño,-74.34999999999998,5.56,150.0,1994,28.6,262.6,339.3,419.7,114.6,35.0,130.0,244.1,222.7,172.9,540.6,13.8
23110030,pto niño,-74.34999999999998,5.56,150.0,1995,78.8,8.4,242.9,269.9,207.9,168.9,276.8,292.7,258.6,132.9,274.1,141.4
23110030,pto niño,-74.34999999999998,5.56,150.0,1996,54.3,185.4,161.1,244.3,299.6,233.9,184.5,117.6,157.6,213.9,94.9,193.9
23110030,pto niño,-74.34999999999998,5.56,150.0,1997,65.9,200.5,47.7,233.6,,108.9,32.2,69.5,326.2,275.4,160.6,8.0
23110030,pto niño,-74.34999999999998,5.56,150.0,1998,65.4,8.3,203.3,209.9,428.3,238.9,162.4,166.9,179.7,281.6,139.6,220.3
23110030,pto niño,-74.34999999999998,5.56,150.0,1999,154.7,245.8,126.3,255.1,172.1,256.9,67.9,181.1,362.6,181.4,229.4,116.0
23110030,pto niño,-74.34999999999998,5.56,150.0,2000,44.9,175.9,177.6,204.7,370.4,176.1,192.3,53.1,369.2,279.4,,117.9
23110030,pto niño,-74.34999999999998,5.56,150.0,2001,102.7,67.0,321.3,69.4,316.1,138.6,141.9,13.1,320.8,177.8,115.6,181.8
23110030,pto niño,-74.34999999999998,5.56,150.0,2002,64.7,99.3,216.9,319.7,192.7,163.0,113.3,124.3,134.9,425.2,213.1,73.6
23110030,pto niño,-74.34999999999998,5.56,150.0,2003,11.0,109.8,167.9,283.2,257.6,380.0,68.7,157.2,195.9,340.9,242.2,183.9
23110030,pto niño,-74.34999999999998,5.56,150.0,2004,33.7,7.9,157.0,309.7,346.4,87.0,206.3,60.9,589.9,337.7,225.7,173.3
23110030,pto niño,-74.34999999999998,5.56,150.0,2005,47.8,33.3,,271.4,306.1,,76.5,127.9,229.4,534.7,306.2,98.0
23110030,pto niño,-74.34999999999998,5.56,150.0,2006,50.4,63.6,317.6,231.6,305.4,263.7,132.7,,240.1,153.3,220.9,328.7
23110030,pto niño,-74.34999999999998,5.56,150.0,2007,69.8,0.0,181.9,315.1,253.6,35.8,208.6,177.5,254.9,265.0,145.2,111.6
23110030,pto niño,-74.34999999999998,5.56,150.0,2008,24.1,136.5,242.3,447.9,238.2,107.8,374.5,442.2,149.8,358.5,186.8,148.4
23110030,pto niño,-74.34999999999998,5.56,150.0,2009,78.6,173.9,258.8,124.7,273.5,179.2,69.8,321.3,224.6,308.4,202.4,67.5
23110030,pto niño,-74.34999999999998,5.56,150.0,2010,0.1,25.1,94.4,452.5,246.3,144.1,278.9,282.5,399.8,145.1,230.2,123.9
23110030,pto niño,-74.34999999999998,5.56,150.0,2011,26.8,150.2,237.6,423.3,131.2,137.2,169.6,188.4,142.7,278.0,207.8,118.6
23110040,trique el,-74.34,5.52,150.0,1990,290.0,94.0,197.0,357.4,195.0,121.0,214.1,143.0,,384.0,262.0,113.1
23110040,trique el,-74.34,5.52,150.0,1991,81.6,116.3,155.4,257.8,254.8,148.3,138.3,139.7,232.8,178.0,168.0,31.0
23110040,trique el,-74.34,5.52,150.0,1992,3.0,168.0,109.0,116.0,195.0,44.0,50.0,257.0,297.0,242.0,263.0,263.0
23110040,trique el,-74.34,5.52,150.0,1993,133.0,20.0,189.0,217.0,298.0,,90.0,125.0,431.0,194.0,207.2,85.0
23110040,trique el,-74.34,5.52,150.0,1994,40.0,340.0,229.0,348.0,130.0,143.0,217.0,99.0,305.0,284.0,323.0,52.0
23110040,trique el,-74.34,5.52,150.0,1995,50.0,19.0,295.0,328.0,281.0,199.0,315.0,324.0,161.0,246.0,269.0,182.0
23110040,trique el,-74.34,5.52,150.0,1996,69.0,242.0,152.0,231.0,365.0,234.0,159.0,121.0,143.0,354.0,99.9,227.0
23110040,trique el,-74.34,5.52,150.0,1997,48.0,166.0,75.0,264.0,108.0,195.0,30.0,85.0,159.0,219.9,176.0,10.0
23110040,trique el,-74.34,5.52,150.0,1998,110.0,56.0,64.8,254.0,354.0,220.0,242.0,311.0,265.0,391.0,214.0,92.0
23110040,trique el,-74.34,5.52,150.0,1999,169.0,,166.0,340.0,219.0,293.0,52.0,116.0,152.0,378.0,192.0,151.0
